1,0.003423,1,2
2,0.004683,2,3
3,0.00953,3,4
4,0.004163,4,5
5,0.00548,1,7
6,0.007777,2,10
7,0.010868,3,14
8,0.014591,4,19
9,0.026511,5,25
10,0.025751,1,34
11,0.038123,2,47
12,0.058668,3,65
13,0.114199,4,89
14,0.082154,5,120
15,0.105016,2,162
16,0.139614,3,220
17,0.194739,4,300
18,0.285167,5,409
19,0.359451,6,555
20,0.497021,2,752
21,4.69834,3,1020
22,0.783269,4,1386
23,1.08275,5,1885
24,1.45885,6,2561
25,5.94905,1,3477
26,4.10874,2,4720
27,2.67674,3,6410
28,15.0332,4,8709
29,7.09689,5,11831
30,6.11465,2,16068
31,8.07706,3,21819
32,12.3448,4,29630
33,17.8039,5,40244
34,22.3813,6,54662
35,28.8563,2,74242
36,38.6022,3,100829
37,54.1642,4,136935
38,72.8641,5,185978
39,98.8471,6,252592
40,130.789,3,343065
-1, 537.293,0 , 0
