6.869800e-03, 5, 200.000000, 4.000000e+02, 2.000000e+02, 0.000000e+00
2.257120e-02, 5, 400.000000, 1.200000e+03, 4.000000e+02, 0.000000e+00
4.614840e-02, 5, 600.000000, 1.800000e+03, 6.000000e+02, 0.000000e+00
5.323740e-02, 5, 800.000000, 2.400000e+03, 8.000000e+02, 0.000000e+00
7.475840e-02, 5, 1000.000000, 3.000000e+03, 1.000000e+03, 0.000000e+00
7.582881e-02, 5, 1200.000000, 3.600000e+03, 1.200000e+03, 0.000000e+00
9.017280e-02, 5, 1400.000000, 4.200000e+03, 1.400000e+03, 0.000000e+00
9.824720e-02, 5, 1600.000000, 4.800000e+03, 1.600000e+03, 0.000000e+00
1.110466e-01, 5, 1800.000000, 5.400000e+03, 1.800000e+03, 0.000000e+00
1.380998e-01, 5, 2000.000000, 6.000000e+03, 2.000000e+03, 0.000000e+00
1.467792e-01, 5, 2200.000000, 6.600000e+03, 2.200000e+03, 0.000000e+00
4.331199e-01, 5, 2400.000000, 7.200000e+03, 2.400000e+03, 0.000000e+00
1.698028e-01, 5, 2600.000000, 7.800000e+03, 2.600000e+03, 0.000000e+00
1.604112e-01, 5, 2800.000000, 8.400000e+03, 2.800000e+03, 0.000000e+00
1.871686e-01, 5, 3000.000000, 9.000000e+03, 3.000000e+03, 0.000000e+00
2.092112e-01, 5, 3200.000000, 9.600000e+03, 3.200000e+03, 0.000000e+00
9.068262e-01, 5, 3400.000000, 1.020000e+04, 3.400000e+03, 0.000000e+00
2.015952e-01, 5, 3600.000000, 1.080000e+04, 3.600000e+03, 0.000000e+00
2.090496e-01, 5, 3800.000000, 1.140000e+04, 3.800000e+03, 0.000000e+00
1.516880e+00, 5, 4000.000000, 1.200000e+04, 4.000000e+03, 0.000000e+00
3.106172e-01, 5, 4200.000000, 1.680000e+04, 4.200000e+03, 0.000000e+00
3.224940e-01, 5, 4400.000000, 1.760000e+04, 4.400000e+03, 0.000000e+00
3.417912e-01, 5, 4600.000000, 1.840000e+04, 4.600000e+03, 0.000000e+00
3.634806e-01, 5, 4800.000000, 1.920000e+04, 4.800000e+03, 0.000000e+00
3.619070e-01, 5, 5000.000000, 2.000000e+04, 5.000000e+03, 0.000000e+00
3.803148e-01, 5, 5200.000000, 2.080000e+04, 5.200000e+03, 0.000000e+00
3.905908e-01, 5, 5400.000000, 2.160000e+04, 5.400000e+03, 0.000000e+00
4.149602e-01, 5, 5600.000000, 2.240000e+04, 5.600000e+03, 0.000000e+00
4.138654e-01, 5, 5800.000000, 2.320000e+04, 5.800000e+03, 0.000000e+00
4.368660e-01, 5, 6000.000000, 2.400000e+04, 6.000000e+03, 0.000000e+00
4.528790e-01, 5, 6200.000000, 2.480000e+04, 6.200000e+03, 0.000000e+00
4.582944e-01, 5, 6400.000000, 2.560000e+04, 6.400000e+03, 0.000000e+00
4.665378e-01, 5, 6600.000000, 2.640000e+04, 6.600000e+03, 0.000000e+00
4.828704e-01, 5, 6800.000000, 2.720000e+04, 6.800000e+03, 0.000000e+00
4.995216e-01, 5, 7000.000000, 2.800000e+04, 7.000000e+03, 0.000000e+00
5.145502e-01, 5, 7200.000000, 2.880000e+04, 7.200000e+03, 0.000000e+00
5.192691e-01, 5, 7400.000000, 2.960000e+04, 7.400000e+03, 0.000000e+00
5.380480e-01, 5, 7600.000000, 3.040000e+04, 7.600000e+03, 0.000000e+00
5.528806e-01, 5, 7800.000000, 3.120000e+04, 7.800000e+03, 0.000000e+00
5.806762e-01, 5, 8000.000000, 3.200000e+04, 8.000000e+03, 0.000000e+00
5.723292e-01, 5, 8200.000000, 3.280000e+04, 8.200000e+03, 0.000000e+00
5.816824e-01, 5, 8400.000000, 3.360000e+04, 8.400000e+03, 0.000000e+00
5.847878e-01, 5, 8600.000000, 3.440000e+04, 8.600000e+03, 0.000000e+00
6.091858e-01, 5, 8800.000000, 3.520000e+04, 8.800000e+03, 0.000000e+00
6.736992e-01, 5, 9000.000000, 3.600000e+04, 9.000000e+03, 0.000000e+00
6.268854e-01, 5, 9200.000000, 3.680000e+04, 9.200000e+03, 0.000000e+00
6.296326e-01, 5, 9400.000000, 3.760000e+04, 9.400000e+03, 0.000000e+00
6.070800e-01, 5, 9600.000000, 3.840000e+04, 9.600000e+03, 0.000000e+00
6.126400e-01, 5, 9800.000000, 3.920000e+04, 9.800000e+03, 0.000000e+00
6.306526e-01, 5, 10000.000000, 4.000000e+04, 1.000000e+04, 0.000000e+00
6.610028e-01, 5, 10200.000000, 4.080000e+04, 1.020000e+04, 0.000000e+00
6.651297e-01, 5, 10400.000000, 4.160000e+04, 1.040000e+04, 0.000000e+00
6.609396e-01, 5, 10600.000000, 4.240000e+04, 1.060000e+04, 0.000000e+00
6.797024e-01, 5, 10800.000000, 4.320000e+04, 1.080000e+04, 0.000000e+00
6.864052e-01, 5, 11000.000000, 4.400000e+04, 1.100000e+04, 0.000000e+00
7.091942e-01, 5, 11200.000000, 4.480000e+04, 1.120000e+04, 0.000000e+00
7.295740e-01, 5, 11400.000000, 4.560000e+04, 1.140000e+04, 0.000000e+00
7.231366e-01, 5, 11600.000000, 4.640000e+04, 1.160000e+04, 0.000000e+00
7.439443e-01, 5, 11800.000000, 4.720000e+04, 1.180000e+04, 0.000000e+00
7.421185e-01, 5, 12000.000000, 4.800000e+04, 1.200000e+04, 0.000000e+00
7.708064e-01, 5, 12200.000000, 4.880000e+04, 1.220000e+04, 0.000000e+00
7.663336e-01, 5, 12400.000000, 4.960000e+04, 1.240000e+04, 0.000000e+00
